t_gps,kf_lat,kf_lon,kf_h,rts_lat,rts_lon,rts_h,kf_sigma,rts_sigma
4110,33.578546,-117.064091,477.307173,33.578373,-117.064249,456.762605,6.445925,1.712177
4125,33.578546,-117.06409,477.575587,33.578373,-117.064249,456.763208,6.43589,1.711742
4140,33.578546,-117.06409,477.831917,33.578373,-117.064249,456.763811,6.426309,1.711308
4155,33.578546,-117.064089,478.078829,33.578373,-117.064249,456.764415,6.416901,1.710873
4170,33.578546,-117.064088,478.318672,33.578373,-117.064249,456.765018,6.408498,1.710439
4185,33.578546,-117.064088,478.55383,33.578373,-117.064249,456.765621,6.400293,1.710005
4200,33.578546,-117.064087,478.776014,33.578373,-117.064249,456.766225,6.392993,1.70957
4215,33.578546,-117.064086,478.98988,33.578373,-117.064249,456.766828,6.386046,1.709136
4230,33.578546,-117.064086,479.206331,33.578373,-117.064249,456.767431,6.379321,1.708702
4245,33.578545,-117.064085,479.414804,33.578373,-117.064249,456.768035,6.373354,1.708267
4260,33.578545,-117.064085,479.624763,33.578373,-117.064249,456.768638,6.367346,1.707833
4275,33.578545,-117.064084,479.823619,33.578373,-117.064249,456.769241,6.361727,1.707399
4290,33.578545,-117.064083,480.022307,33.578373,-117.064249,456.769845,6.356414,1.706965
4305,33.578545,-117.064083,480.210782,33.578373,-117.064249,456.770448,6.351226,1.706531
4320,33.578544,-117.064082,480.396836,33.578373,-117.064249,456.771051,6.346198,1.706097
4335,33.578544,-117.064082,480.586529,33.578373,-117.064249,456.771655,6.341483,1.705663
4350,33.578544,-117.064081,480.764395,33.578373,-117.064249,456.772258,6.337367,1.705229
4365,33.578543,-117.064081,480.936961,33.578373,-117.064249,456.772861,6.333197,1.704795
4380,33.578543,-117.064081,481.097466,33.578373,-117.064249,456.773465,6.329807,1.704361
4395,33.578542,-117.06408,481.254451,33.578373,-117.064249,456.774068,6.326389,1.703927
4410,33.578542,-117.06408,481.409445,33.578373,-117.064249,456.774671,6.323183,1.703493
4425,33.578542,-117.064079,481.560271,33.578372,-117.064249,456.775275,6.320472,1.703059
4440,33.578541,-117.064079,481.703957,33.578372,-117.064249,456.775878,6.317754,1.702625
4455,33.578541,-117.064079,481.845262,33.578372,-117.064249,456.776481,6.315043,1.702191
4470,33.57854,-117.064078,481.976178,33.578372,-117.064249,456.777085,6.312328,1.701758
4485,33.57854,-117.064078,482.099846,33.578372,-117.064249,456.777688,6.310152,1.701324
4500,33.578539,-117.064078,482.214735,33.578372,-117.064249,456.778291,6.308367,1.70089
4515,33.578539,-117.064077,482.324011,33.578372,-117.064249,456.778895,6.306815,1.700456
4530,33.578538,-117.064077,482.427464,33.578372,-117.064249,456.779498,6.305425,1.700023
4545,33.578537,-117.064077,482.520751,33.578372,-117.064249,456.780101,6.303972,1.699589
4560,33.578537,-117.064076,482.616413,33.578372,-117.064249,456.780705,6.302425,1.699156
4575,33.578536,-117.064076,482.704521,33.578372,-117.064249,456.781308,6.301478,1.698722
4590,33.578535,-117.064076,482.794754,33.578372,-117.064249,456.781911,6.300613,1.698289
